           x            Repeat   OMP          TBB      TF          S1            S2
          16          10           0           0         0.4           0           0
         400          10        16.4           1         6.4      2.5625     0.15625
        1296          10        53.2           4         6.2     8.58065    0.645161
        2704          10       109.6           8         5.8     18.8966     1.37931
        4624          10       190.8          14           3        63.6     4.66667
        7056          10       288.6          19           4       72.15        4.75
       10000          10       409.6        25.2           5       81.92        5.04
       13456          10       550.8        32.4         6.8          81     4.76471
       17424          10       712.8          41           8        89.1       5.125
       21904          10       897.2          50        10.2     87.9608     4.90196
       26896          10        1098        60.8        12.2          90     4.98361
       32400          10      1328.6        72.2        17.8     74.6404     4.05618
       38416          10      1565.2        86.8        19.4     80.6804     4.47423
       44944          10      1836.2        99.4        23.2     79.1466     4.28448
       51984          10      2140.4       113.6        25.8     82.9612      4.4031
       59536          10      2421.8       129.4        31.8     76.1572     4.06918
       67600          10      2773.4         149          35       79.24     4.25714
       76176          10      3146.8         168        39.8     79.0653     4.22111
       85264          10        3546       190.2        43.6     81.3303     4.36239
       94864          10      3885.8       212.6        48.6     79.9547     4.37449
      104976          10      4304.6       232.8        55.4     77.7004     4.20217
      115600          10      4746.2       256.2        60.4     78.5795     4.24172
      126736          10      5156.2       281.2        65.8     78.3617     4.27356
      138384          10      5699.8       307.2        71.8     79.3844     4.27855
      150544          10      6183.6       335.2        78.8     78.4721     4.25381
      163216          10      6721.6         364        86.2     77.9768     4.22274
      176400          10      7198.8       390.6        92.2     78.0781     4.23644
      190096          10      7830.2       423.2          99     79.0929     4.27475
      204304          10      8352.6       457.2         105     79.5486     4.35429
      219024          10        8907         489         111     80.2432     4.40541
      234256          10        9619         522       117.6     81.7942     4.43878
      250000          10       10180       553.8       127.4     79.9058     4.34694
