           x            Repeat   OMP          TBB      TF          S1            S2
          16           5         0.6           0           1         0.6           0
         400           5           8           0           1           8           0
        1296           5          26           2         4.6     5.65217    0.434783
        2704           5          55           4         7.2     7.63889    0.555556
        4624           5        97.2           8         5.4          18     1.48148
        7056           5       143.8          12           2        71.9           6
       10000           5       204.4          16           3     68.1333     5.33333
       13456           5       275.4          20           4       68.85           5
       17424           5       354.6          25           5       70.92           5
       21904           5         448        30.8         6.6     67.8788     4.66667
       26896           5       555.6        36.2         8.2     67.7561     4.41463
       32400           5         670        42.6         9.4     71.2766     4.53191
       38416           5       790.2          50        12.8     61.7344     3.90625
       44944           5       915.2        58.4        15.6     58.6667     3.74359
       51984           5        1074        65.6        17.4     61.7241     3.77011
       59536           5      1216.4        75.2          21     57.9238     3.58095
       67600           5        1408          86          25       56.32        3.44
       76176           5      1565.6        97.8        27.6     56.7246     3.54348
       85264           5      1766.6       110.4          31     56.9871     3.56129
       94864           5      1936.6         121        34.6     55.9711     3.49711
      104976           5        2176       135.8        37.8     57.5661     3.59259
      115600           5      2370.8       147.8          43     55.1349     3.43721
      126736           5      2613.8       164.8        46.6     56.0901     3.53648
      138384           5      2840.8       179.8        51.6     55.0543      3.4845
      150544           5      3084.2       195.2        57.2     53.9196     3.41259
      163216           5      3347.6       212.4          61     54.8787     3.48197
      176400           5      3619.4       230.6          68     53.2265     3.39118
      190096           5      3909.4         250        71.4     54.7535      3.5014
      204304           5      4196.4       266.2        76.6     54.7833      3.4752
      219024           5      4493.6       283.8        80.6     55.7519     3.52109
      234256           5      4815.8       302.8        84.2     57.1948      3.5962
      250000           5      5136.8       321.8          88     58.3727     3.65682
