           x            Repeat   OMP          TBB      TF          S1            S2
          16           1         0.6           0         1.2         0.5           0
         400           1           1           0         2.8    0.357143           0
        1296           1           5           0        13.2    0.378788           0
        2704           1        10.6         1.4         7.6     1.39474    0.184211
        4624           1        18.6           3         6.6     2.81818    0.454545
        7056           1        28.6         4.2         6.8     4.20588    0.617647
       10000           1        40.6         6.2         6.8     5.97059    0.911765
       13456           1        54.8         8.2         4.8     11.4167     1.70833
       17424           1        70.4        11.2           3     23.4667     3.73333
       21904           1        89.8        14.2         3.2     28.0625      4.4375
       26896           1       110.6          17           4       27.65        4.25
       32400           1       133.2        19.2         5.4     24.6667     3.55556
       38416           1       158.6        22.2         6.4     24.7812     3.46875
       44944           1       184.8          25           8        23.1       3.125
       51984           1       216.6          28         9.2     23.5435     3.04348
       59536           1       247.8        31.2        10.6     23.3774      2.9434
       67600           1       281.8        35.4        12.4     22.7258     2.85484
       76176           1       316.6          40        14.6     21.6849     2.73973
       85264           1       354.6        45.4        16.2     21.8889     2.80247
       94864           1       393.4        50.4        18.2     21.6154     2.76923
      104976           1       435.2        55.6          20       21.76        2.78
      115600           1       481.2        61.8        22.4     21.4821     2.75893
      126736           1         522        67.8        25.4     20.5512     2.66929
      138384           1         573        73.6        27.6     20.7609     2.66667
      150544           1       616.6        82.4        30.4     20.2829     2.71053
      163216           1       675.2          90        34.6     19.5145     2.60116
      176400           1         724        98.4        36.8     19.6739     2.67391
      190096           1       788.2       105.2        40.4     19.5099     2.60396
      204304           1       845.8         115        43.6     19.3991     2.63761
      219024           1       908.4       118.6        47.4     19.1646     2.50211
      234256           1       957.6       127.8        49.8     19.2289     2.56627
      250000           1      1032.4       136.6        51.8     19.9305     2.63707
